,0
0,El Salvador
1,Georgia
2,Syria
3,Hong Kong
4,China
5,Uganda
6,Singapore
7,Nepal
8,Iran
9,Ghana
10,Venezuela
11,Armenia
12,Thailand
13,Indonesia
14,Philippines
15,Algeria
16,Ethiopia
17,Lebanon
18,Cambodia
19,Vietnam
20,Moldova
21,Morocco
22,Taiwan
23,Serbia
24,Belarus
25,Azerbaijan
26,Macedonia
27,Montenegro
28,Ukraine
29,Brazil
30,Peru
31,Albania
32,Russia
33,Colombia
34,Pakistan
35,Nigeria
36,Trinidad And Tobago
37,Croatia
38,Romania
39,Lithuania
40,Israel
41,Latvia
42,Ecuador
43,Mauritius
44,Sri Lanka
45,Italy
46,Bosnia And Herzegovina
47,Greece
48,Uruguay
49,Poland
50,South Korea
51,Kazakhstan
52,Tunisia
53,Egypt
54,Slovenia
55,Bangladesh
56,Spain
57,Czech Republic
58,France
59,Dominican Republic
60,Estonia
61,India
62,Bulgaria
63,Panama
64,Hungary
65,Slovakia
66,Chile
67,Sweden
68,Kenya
69,Zimbabwe
70,Austria
71,Malta
72,Honduras
73,Iraq
74,Argentina
75,Bolivia
76,Portugal
77,Japan
78,Malaysia
79,Guatemala
80,Jordan
81,Finland
82,Luxembourg
83,United Kingdom
84,Australia
85,Norway
86,Iceland
87,Cyprus
88,Switzerland
89,Bahrain
90,Costa Rica
91,Turkey
92,Kuwait
93,Mozambique
94,Mexico
95,Denmark
96,Netherlands
97,Belgium
98,Ireland
99,Qatar
100,Germany
101,Canada
102,Bahamas
103,New Zealand
104,United Arab Emirates
105,Puerto Rico
106,Libya
107,Angola
108,Jamaica
109,South Africa
110,Saudi Arabia
111,Namibia
112,Oman
113,United States
114,Tanzania
115,El Salvador
116,Georgia
117,Syria
118,Hong Kong
119,China
120,Uganda
121,Singapore
122,Nepal
123,Iran
124,Ghana
125,Venezuela
126,Armenia
127,Thailand
128,Indonesia
129,Philippines
130,Algeria
131,Ethiopia
132,Lebanon
133,Cambodia
134,Vietnam
135,Moldova
136,Morocco
137,Taiwan
138,Serbia
139,Belarus
140,Azerbaijan
141,Macedonia
142,Montenegro
143,Ukraine
144,Brazil
145,Peru
146,Albania
147,Russia
148,Colombia
149,Pakistan
150,Nigeria
151,Trinidad And Tobago
152,Croatia
153,Romania
154,Lithuania
155,Israel
156,Latvia
157,Ecuador
158,Mauritius
159,Sri Lanka
160,Italy
161,Bosnia And Herzegovina
162,Greece
163,Uruguay
164,Poland
165,South Korea
166,Kazakhstan
167,Tunisia
168,Egypt
169,Slovenia
170,Bangladesh
171,Spain
172,Czech Republic
173,France
174,Dominican Republic
175,Estonia
176,India
177,Bulgaria
178,Panama
179,Hungary
180,Slovakia
181,Chile
182,Sweden
183,Kenya
184,Zimbabwe
185,Austria
186,Malta
187,Honduras
188,Iraq
189,Argentina
190,Bolivia
191,Portugal
192,Japan
193,Malaysia
194,Guatemala
195,Jordan
196,Finland
197,Luxembourg
198,United Kingdom
199,Australia
200,Norway
201,Iceland
202,Cyprus
203,Switzerland
204,Bahrain
205,Costa Rica
206,Turkey
207,Kuwait
208,Mozambique
209,Mexico
210,Denmark
211,Netherlands
212,Belgium
213,Ireland
214,Qatar
215,Germany
216,Canada
217,Bahamas
218,New Zealand
219,United Arab Emirates
220,Puerto Rico
221,Libya
222,Angola
223,Jamaica
224,South Africa
225,Saudi Arabia
226,Namibia
227,Oman
228,United States
229,Tanzania
