,0
0,Hong Kong
1,Vietnam
2,Ghana
3,Cambodia
4,Ukraine
5,China
6,Thailand
7,Syria
8,Singapore
9,Taiwan
10,Belarus
11,Kenya
12,Japan
13,Indonesia
14,Philippines
15,Algeria
16,Moldova
17,Armenia
18,Brazil
19,Nepal
20,Azerbaijan
21,Sri Lanka
22,Ethiopia
23,Serbia
24,Uzbekistan
25,Georgia
26,Colombia
27,Peru
28,Montenegro
29,Macedonia
30,Pakistan
31,South Korea
32,Uruguay
33,Iran
34,Morocco
35,Albania
36,Kazakhstan
37,Lebanon
38,Lithuania
39,Russia
40,Argentina
41,Panama
42,Dominican Republic
43,France
44,Croatia
45,Ecuador
46,Tunisia
47,Sweden
48,Estonia
49,Poland
50,Bosnia And Herzegovina
51,Egypt
52,Latvia
53,Israel
54,Romania
55,India
56,Italy
57,Czech Republic
58,Bolivia
59,Chile
60,Bangladesh
61,Hungary
62,Jamaica
63,Slovenia
64,Austria
65,United Kingdom
66,Malaysia
67,Slovakia
68,Jordan
69,Bulgaria
70,Luxembourg
71,Malta
72,Switzerland
73,Ireland
74,Australia
75,Portugal
76,Turkey
77,Spain
78,Iraq
79,Finland
80,Costa Rica
81,Greece
82,Norway
83,Germany
84,Palestinian Territory
85,Tanzania
86,Qatar
87,Cyprus
88,Belgium
89,New Zealand
90,Mexico
91,Canada
92,Netherlands
93,Denmark
94,Bahrain
95,Iceland
96,United Arab Emirates
97,Puerto Rico
98,United States
99,South Africa
100,Oman
101,Saudi Arabia
102,Hong Kong
103,Vietnam
104,Ghana
105,Cambodia
106,Ukraine
107,China
108,Thailand
109,Syria
110,Singapore
111,Taiwan
112,Belarus
113,Kenya
114,Japan
115,Indonesia
116,Philippines
117,Algeria
118,Moldova
119,Armenia
120,Brazil
121,Nepal
122,Azerbaijan
123,Sri Lanka
124,Ethiopia
125,Serbia
126,Uzbekistan
127,Georgia
128,Colombia
129,Peru
130,Montenegro
131,Macedonia
132,Pakistan
133,South Korea
134,Uruguay
135,Iran
136,Morocco
137,Albania
138,Kazakhstan
139,Lebanon
140,Lithuania
141,Russia
142,Argentina
143,Panama
144,Dominican Republic
145,France
146,Croatia
147,Ecuador
148,Tunisia
149,Sweden
150,Estonia
151,Poland
152,Bosnia And Herzegovina
153,Egypt
154,Latvia
155,Israel
156,Romania
157,India
158,Italy
159,Czech Republic
160,Bolivia
161,Chile
162,Bangladesh
163,Hungary
164,Jamaica
165,Slovenia
166,Austria
167,United Kingdom
168,Malaysia
169,Slovakia
170,Jordan
171,Bulgaria
172,Luxembourg
173,Malta
174,Switzerland
175,Ireland
176,Australia
177,Portugal
178,Turkey
179,Spain
180,Iraq
181,Finland
182,Costa Rica
183,Greece
184,Norway
185,Germany
186,Palestinian Territory
187,Tanzania
188,Qatar
189,Cyprus
190,Belgium
191,New Zealand
192,Mexico
193,Canada
194,Netherlands
195,Denmark
196,Bahrain
197,Iceland
198,United Arab Emirates
199,Puerto Rico
200,United States
201,South Africa
202,Oman
203,Saudi Arabia
